id,source_city,source_latitude,source_longitude,target_city,target_latitude,target_longitude,pop,year
1,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,2562,1916
2,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,7696,1917
3,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,8717,1918
4,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,10309,1919
5,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,7725,1920
6,Qingdao,36.06708,120.38264,Fushun,41.8797,123.95728,2066,1921
7,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,0,1916
8,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,23317,1917
9,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,2871,1918
10,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,3220,1919
11,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,1176,1920
12,Jinzhou,41.12739,121.14775,Fushun,41.8797,123.95728,0,1921
13,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,0,1916
14,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,1147,1917
15,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,1487,1918
16,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,4560,1919
17,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,2279,1920
18,Lingyuan,41.24415,119.40194,Fushun,41.8797,123.95728,223,1921
19,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,0,1916
20,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,1283,1917
21,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,823,1918
22,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,1495,1919
23,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,2007,1920
24,Chaoyang,41.57676,120.45118,Fushun,41.8797,123.95728,521,1921
25,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,0,1916
26,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,0,1917
27,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,0,1918
28,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,3792,1919
29,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,1698,1920
30,Tianjin,39.13324,117.2055,Fushun,41.8797,123.95728,67,1921
31,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,0,1916
32,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,0,1917
33,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,0,1918
34,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,439,1919
35,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,263,1920
36,Shanhaiguan,40.00925,119.77532,Fushun,41.8797,123.95728,0,1921
